097725709178,Mickhausen,72,621231.3009,5342318.632
071405003073,Korweiler,40,386677.2216,5551770.6629
032410020020,Wennigsen (Deister),41,538909.2033,5790297.261
071335006086,Roxheim,33,413676.37515,5524271.98195
084175006016,Dotternhausen,17,484616.6541,5341077.5093
073405006022,Höheinöd,40,398433.67205,5460308.1047
073335003064,Rüssingen,33,433669.8614,5496462.8162
081285003047,Grünsfeld,28,555127.0049,5496301.13115
120735310505,Schöneberg,73,844744.73865,5885935.4473
120645414365,Neutrebbin,64,854282.60965,5849493.90655
073375003066,Rhodt unter Rietburg,37,430036.7789,5461070.8143
072335003083,Wiesbaum,33,334040.42095,5579587.30255
095715504122,Bruckberg,71,622948.73505,5467758.64165
073345001001,Bellheim,34,449266.7769,5449057.0859
082255002033,Haßmersheim,25,508367.40055,5461277.495
130545426028,Eldena,54,662791.04455,5900689.21585
097775772171,Stötten a. Auerberg,77,627778.22455,5287694.19125
096715604159,Westerngrund,71,517446.05075,5552039.0984
073405001034,Nothweiler,40,412747.2683,5435322.918
083275001030,Kolbingen,27,492126.54175,5322996.2072
010550028028,Malente,55,603080.82415,6005183.26665
093720157157,Schönthal,72,761456.60465,5473023.85495
130625212052,Rothenklempenow,62,846350.4313,5944473.89485
034590020020,Hagen am Teutoburger Wald,59,429640.0852,5783427.72815
034575403016,Nortmoor,57,404065.95805,5900360.875
097795724217,Tagmersheim,79,643782.16855,5409670.32975
097785765151,Holzgünz,78,593096.41945,5319620.77265
073340501501,Wörth am Rhein,34,442147.5956,5431716.641
130550050050,Neustrelitz,55,769918.49395,5917415.5698
010625270040,Köthel,62,599059.15795,5941629.28305
071310070070,Remagen,31,373463.4933,5607127.9738
032540028028,Sarstedt,54,558189.9085,5787351.56995
010615138024,Drage,61,535089.41455,5984913.2181
097805742121,Fischen i. Allgäu,80,595332.46785,5256296.0514
073315003041,Hohen-Sülzen,31,444053.0079,5496540.9762
082265007099,Wilhelmsfeld,26,483228.80455,5479418.26265
073325003030,Kirchheim an der Weinstraße,32,435785.29485,5484544.32305
096710150150,Sailauf,71,519311.5032,5541882.1657
160705003022,Gillersdorf,70,641890.1986,5607992.5108
094715403189,Stadelhofen,71,656265.2298,5539777.019
071435007305,Weidenhahn,43,418259.57145,5600179.372
092785250177,Rain,78,753418.21975,5421674.3837
094739454454,Köllnholz,73,632065.08325,5571536.22815
073355006034,Otterbach,35,408101.6816,5482494.01355
084175003023,Grosselfingen,17,491430.80635,5354078.6324
072320018018,Bitburg,32,322299.5343,5538956.26815
073405001501,Bruchweiler-Bärenbach,40,411660.2656,5440979.56895
071325001201,Berod bei Hachenburg,32,407264.81565,5610901.7693
