SATZART;AGS;NAME;EWZ;EW_M;EW_W;EW_D;EW_A;ALTER_1;ALTER_2;ALTER_3;ALTER_4;ALTER_5
50;091895170;Obing (VGem); 6 963; 3 456; 3 507; 6 789;  174; 1 340;  978; 2 033; 1 383; 1 229
60;091895170126;Kienberg; 1 366;  689;  677; 1 338;  28;  265;  175;  411;  284;  231
60;091895170133;Obing; 3 959; 1 948; 2 011; 3 840;  119;  752;  567; 1 153;  776;  711
60;091895170137;Pittenhart; 1 638;  819;  819; 1 611;  27;  323;  236;  469;  323;  287
50;091895173;Waging a.See (VGem); 9 837; 4 780; 5 058; 9 530;  308; 1 813; 1 364; 2 868; 1 884; 1 909
60;091895173150;Taching a.See; 1 939;  944;  995; 1 883;  56;  346;  269;  556;  358;  410
60;091895173162;Waging a.See, M; 6 431; 3 098; 3 333; 6 206;  225; 1 139;  893; 1 839; 1 273; 1 287
60;091895173165;Wonneberg; 1 467;  738;  730; 1 441;  27;  328;  202;  473;  253;  212
40;09190;Weilheim-Schongau; 128 761; 63 220; 65 540; 121 070; 7 690; 23 970; 16 740; 36 520; 25 710; 25 830
50;091900115;Bernried am Starnberger See; 2 123;  984; 1 139; 1 980;  143;  404;  243;  621;  468;  387
60;091900115115;Bernried am Starnberger See; 2 123;  984; 1 139; 1 980;  143;  404;  243;  621;  468;  387
50;091900130;Hohenpeißenberg; 3 779; 1 873; 1 907; 3 675;  105;  604;  475;  969;  882;  850
60;091900130130;Hohenpeißenberg; 3 779; 1 873; 1 907; 3 675;  105;  604;  475;  969;  882;  850
50;091900138;Pähl; 2 247; 1 095; 1 152; 2 153;  94;  443;  287;  671;  482;  364
60;091900138138;Pähl; 2 247; 1 095; 1 152; 2 153;  94;  443;  287;  671;  482;  364
50;091900139;Peißenberg, M; 12 335; 5 990; 6 340; 11 590;  750; 2 310; 1 630; 3 410; 2 410; 2 570
60;091900139139;Peißenberg, M; 12 335; 5 990; 6 340; 11 590;  750; 2 310; 1 630; 3 410; 2 410; 2 570
50;091900140;Peiting, M; 11 390; 5 800; 5 590; 10 920;  470; 1 830; 1 560; 3 180; 2 320; 2 500
60;091900140140;Peiting, M; 11 390; 5 800; 5 590; 10 920;  470; 1 830; 1 560; 3 180; 2 320; 2 500
50;091900141;Penzberg, St; 16 003; 7 730; 8 270; 14 670; 1 340; 2 830; 2 130; 4 620; 3 200; 3 230
60;091900141141;Penzberg, St; 16 003; 7 730; 8 270; 14 670; 1 340; 2 830; 2 130; 4 620; 3 200; 3 230
50;091900142;Polling; 3 254; 1 592; 1 662; 3 146;  108;  563;  419;  945;  677;  650
60;091900142142;Polling; 3 254; 1 592; 1 662; 3 146;  108;  563;  419;  945;  677;  650
50;091900144;Raisting; 2 187; 1 113; 1 074; 2 118;  69;  424;  307;  658;  459;  339
60;091900144144;Raisting; 2 187; 1 113; 1 074; 2 118;  69;  424;  307;  658;  459;  339
50;091900148;Schongau, St; 11 643; 5 710; 5 930; 10 130; 1 510; 2 040; 1 670; 3 230; 2 240; 2 460
60;091900148148;Schongau, St; 11 643; 5 710; 5 930; 10 130; 1 510; 2 040; 1 670; 3 230; 2 240; 2 460
50;091900157;Weilheim i.OB, St; 21 149; 10 050; 11 100; 19 360; 1 780; 3 690; 2 590; 5 870; 4 280; 4 720
60;091900157157;Weilheim i.OB, St; 21 149; 10 050; 11 100; 19 360; 1 780; 3 690; 2 590; 5 870; 4 280; 4 720
50;091900158;Wessobrunn; 2 126; 1 077; 1 049; 2 067;  59;  457;  261;  636;  371;  401
60;091900158158;Wessobrunn; 2 126; 1 077; 1 049; 2 067;  59;  457;  261;  636;  371;  401
50;091900159;Wielenbach; 3 077; 1 543; 1 534; 2 997;  80;  602;  353;  908;  625;  589
60;091900159159;Wielenbach; 3 077; 1 543; 1 534; 2 997;  80;  602;  353;  908;  625;  589
50;091905174;Altenstadt (VGem); 7 903; 3 990; 3 913; 7 631;  272; 1 677; 1 076; 2 258; 1 499; 1 393
60;091905174111;Altenstadt; 3 228; 1 615; 1 613; 3 041;  187;  705;  408;  906;  612;  597
60;091905174129;Hohenfurch; 1 509;  774;  735; 1 480;  29;  300;  208;  442;  309;  250
60;091905174133;Ingenried;  928;  474;  454;  914;  14;  201;  145;  273;  162;  147
60;091905174149;Schwabbruck;  935;  463;  472;  926;  9;  209;  123;  282;  168;  153
60;091905174151;Schwabsoien; 1 303;  664;  639; 1 270;  33;  262;  192;  355;  248;  246
50;091905175;Bernbeuren (VGem); 4 041; 2 071; 1 970; 3 975;  66;  883;  543; 1 157;  819;  639
60;091905175114;Bernbeuren; 2 360; 1 216; 1 144; 2 326;  34;  520;  311;  686;  473;  370
60;091905175118;Burggen; 1 681;  855;  826; 1 649;  32;  363;  232;  471;  346;  269
50;091905176;Habach (VGem); 4 816; 2 433; 2 383; 4 667;  149; 1 053;  641; 1 531;  895;  696
60;091905176113;Antdorf; 1 180;  594;  586; 1 140;  40;  243;  171;  382;  195;  189
60;091905176126;Habach; 1 086;  539;  547; 1 042;  44;  257;  142;  367;  196;  124
60;091905176136;Obersöchering; 1 484;  777;  707; 1 449;  35;  354;  200;  461;  252;  217
60;091905176153;Sindelsdorf; 1 066;  523;  543; 1 036;  30;  199;  128;  321;  252;  166
50;091905177;Huglfing (VGem); 6 893; 3 395; 3 498; 6 698;  195; 1 401;  899; 2 051; 1 442; 1 100
60;091905177120;Eberfing; 1 329;  680;  649; 1 299;  30;  283;  183;  389;  276;  198
60;091905177121;Eglfing;  963;  478;  485;  944;  19;  203;  115;  311;  185;  149
60;091905177131;Huglfing; 2 563; 1 269; 1 294; 2 472;  91;  536;  323;  779;  517;  408
60;091905177135;Oberhausen; 2 038;  968; 1 070; 1 983;  55;  379;  278;  572;  464;  345
50;091905178;Rottenbuch (VGem); 3 507; 1 765; 1 742; 3 434;  73;  792;  457;  988;  602;  668
60;091905178117;Böbing; 1 764;  913;  851; 1 725;  39;  406;  246;  520;  298;  294
60;091905178145;Rottenbuch; 1 743;  852;  891; 1 709;  34;  386;  211;  468;  304;  374
50;091905179;Seeshaupt (VGem); 5 481; 2 613; 2 868; 5 195;  286;  954;  566; 1 480; 1 183; 1 298
60;091905179132;Iffeldorf; 2 493; 1 216; 1 277; 2 369;  124;  446;  280;  695;  583;  489
60;091905179152;Seeshaupt; 2 988; 1 397; 1 591; 2 826;  162;  508;  286;  785;  600;  809
50;091905180;Steingaden (VGem); 4 807; 2 396; 2 412; 4 663;  145; 1 010;  634; 1 325;  862;  977
60;091905180143;Prem;  858;  402;  456;  827;  31;  149;  117;  229;  180;  183
60;091905180154;Steingaden; 2 699; 1 352; 1 347; 2 607;  92;  573;  359;  715;  492;  560
60;091905180160;Wildsteig; 1 250;  642;  609; 1 229;  22;  288;  158;  381;  190;  234
20;092;Niederbayern;1 172 834; 577 710; 595 120;1 120 770; 52 060; 204 460; 165 380; 334 940; 243 990; 224 060
40;09261;Landshut; 63 544; 30 250; 33 300; 56 760; 6 780; 9 590; 9 610; 18 560; 12 050; 13 730
50;092610000;Landshut; 63 544; 30 250; 33 300; 56 760; 6 780; 9 590; 9 610; 18 560; 12 050; 13 730
60;092610000000;Landshut; 63 544; 30 250; 33 300; 56 760; 6 780; 9 590; 9 610; 18 560; 12 050; 13 730
40;09262;Passau; 48 649; 22 910; 25 740; 45 170; 3 480; 6 610; 9 840; 12 240; 9 380; 10 580
50;092620000;Passau; 48 649; 22 910; 25 740; 45 170; 3 480; 6 610; 9 840; 12 240; 9 380; 10 580
60;092620000000;Passau; 48 649; 22 910; 25 740; 45 170; 3 480; 6 610; 9 840; 12 240; 9 380; 10 580
40;09263;Straubing; 44 488; 21 930; 22 560; 40 960; 3 520; 6 350; 6 740; 12 440; 9 580; 9 380
50;092630000;Straubing; 44 488; 21 930; 22 560; 40 960; 3 520; 6 350; 6 740; 12 440; 9 580; 9 380
60;092630000000;Straubing; 44 488; 21 930; 22 560; 40 960; 3 520; 6 350; 6 740; 12 440; 9 580; 9 380
40;09271;Deggendorf; 114 454; 56 190; 58 270; 109 630; 4 820; 19 880; 16 220; 32 900; 24 080; 21 360
50;092710111;Aholming; 2 251; 1 122; 1 129; 2 220;  31;  420;  271;  726;  442;  392
60;092710111111;Aholming; 2 251; 1 122; 1 129; 2 220;  31;  420;  271;  726;  442;  392
50;092710113;Auerbach; 2 070; 1 039; 1 031; 2 039;  31;  414;  306;  650;  441;  259
60;092710113113;Auerbach; 2 070; 1 039; 1 031; 2 039;  31;  414;  306;  650;  441;  259
50;092710116;Bernried; 4 769; 2 372; 2 397; 4 685;  84;  860;  640; 1 398; 1 051;  820
60;092710116116;Bernried; 4 769; 2 372; 2 397; 4 685;  84;  860;  640; 1 398; 1 051;  820
50;092710119;Deggendorf, GKSt; 31 491; 15 230; 16 260; 29 180; 2 310; 4 730; 5 060; 8 750; 6 540; 6 420
60;092710119119;Deggendorf, GKSt; 31 491; 15 230; 16 260; 29 180; 2 310; 4 730; 5 060; 8 750; 6 540; 6 420
50;092710122;Grafling; 2 762; 1 363; 1 399; 2 735;  27;  497;  371;  792;  614;  488
60;092710122122;Grafling; 2 762; 1 363; 1 399; 2 735;  27;  497;  371;  792;  614;  488
50;092710125;Hengersberg, M; 7 059; 3 441; 3 618; 6 616;  443; 1 265;  982; 2 078; 1 456; 1 278
60;092710125125;Hengersberg, M; 7 059; 3 441; 3 618; 6 616;  443; 1 265;  982; 2 078; 1 456; 1 278
50;092710127;Iggensbach; 2 045; 1 036; 1 009; 1 955;  90;  354;  304;  585;  424;  378
60;092710127127;Iggensbach; 2 045; 1 036; 1 009; 1 955;  90;  354;  304;  585;  424;  378
50;092710128;Künzing; 3 118; 1 539; 1 579; 3 084;  34;  551;  374;  913;  641;  639
60;092710128128;Künzing; 3 118; 1 539; 1 579; 3 084;  34;  551;  374;  913;  641;  639
50;092710132;Metten, M; 4 141; 2 017; 2 124; 3 943;  198;  766;  505; 1 182;  865;  823
60;092710132132;Metten, M; 4 141; 2 017; 2 124; 3 943;  198;  766;  505; 1 182;  865;  823
50;092710138;Niederalteich; 1 805;  904;  901; 1 739;  66;  351;  232;  546;  398;  278
60;092710138138;Niederalteich; 1 805;  904;  901; 1 739;  66;  351;  232;  546;  398;  278
50;092710140;Offenberg; 3 245; 1 627; 1 618; 3 208;  37;  623;  420;  970;  745;  487
60;092710140140;Offenberg; 3 245; 1 627; 1 618; 3 208;  37;  623;  420;  970;  745;  487
50;092710141;Osterhofen, St; 11 506; 5 630; 5 880; 11 230;  270; 1 950; 1 590; 3 140; 2 550; 2 280
60;092710141141;Osterhofen, St; 11 506; 5 630; 5 880; 11 230;  270; 1 950; 1 590; 3 140; 2 550; 2 280
50;092710146;Plattling, St; 12 206; 5 950; 6 260; 11 410;  800; 2 070; 1 740; 3 480; 2 520; 2 400
60;092710146146;Plattling, St; 12 206; 5 950; 6 260; 11 410;  800; 2 070; 1 740; 3 480; 2 520; 2 400
50;092710151;Stephansposching; 3 017; 1 509; 1 508; 2 975;  42;  563;  358;  920;  604;  572
60;092710151151;Stephansposching; 3 017; 1 509; 1 508; 2 975;  42;  563;  358;  920;  604;  572
50;092710153;Winzer, M; 3 808; 1 879; 1 929; 3 740;  68;  751;  505; 1 158;  782;  612
60;092710153153;Winzer, M; 3 808; 1 879; 1 929; 3 740;  68;  751;  505; 1 158;  782;  612
50;092715202;Lalling (VGem); 5 445; 2 698; 2 747; 5 375;  70; 1 002;  754; 1 597; 1 173;  919
60;092715202123;Grattersdorf; 1 275;  616;  659; 1 265;  10;  207;  173;  369;  283;  243
60;092715202126;Hunding; 1 151;  588;  563; 1 141;  10;  219;  147;  343;  258;  184
60;092715202130;Lalling; 1 550;  773;  777; 1 532;  18;  285;  208;  460;  342;  255
60;092715202148;Schaufling; 1 469;  721;  748; 1 437;  32;  291;  226;  425;  290;  237
50;092715204;Oberpöring (VGem); 4 453; 2 245; 2 208; 4 372;  81;  930;  549; 1 331;  876;  767
60;092715204139;Oberpöring; 1 175;  587;  588; 1 156;  19;  237;  157;  335;  242;  204
60;092715204143;Otzing; 1 913;  955;  958; 1 866;  47;  409;  236;  588;  355;  325
60;092715204152;Wallerfing; 1 365;  703;  662; 1 350;  15;  284;  156;  408;  279;  238
50;092715205;Moos (VGem); 3 058; 1 520; 1 538; 3 016;  42;  568;  389;  882;  662;  557
60;092715205118;Buchhofen;  894;  445;  449;  894;  0;  145;  127;  254;  211;  157
60;092715205135;Moos; 2 164; 1 075; 1 089; 2 122;  42;  423;  262;  628;  451;  400
